,KFI6,KFI8,KFJ2,KFK8,KFL2,KFL4,KFM4,KFM6,KFM8,KFO6,KFO8,KFP2,KFQ2,KFQ4,KFQ6,KFV5,KFV6,KFW3,KFW4,KFW7,KFW8,KFX5,KFX6,KFX9,KFY2,KI77,KI7A,KI7B,KI7C,KI7D,KI7G,KI7I,KI7J,KI7K,KI7L,KI7O,KI7Q,KI7R,KI7S,KI7T,L4VM,L4VN,L4VP,L4VQ,L4VU,L4VV,L4VW,L4VX,L4VY,L4W4,L4W5,L4W6,L4W7,L4WC,L4WV,L4WW,L4X9,L4XD,L4XF,L4XH,L4XM,L4XR,L4XX,L4XZ,L4Y2,L4Y5,L4Y8,L4YB,L4YD,S222,S224,S225,S226,S22B,S22C,S22D,S22F,S22G,S22K,S22L,S22M,S22O,S237,S23F,S23H,S23I,S23M,S23R,S23W,S243,S26Q,S26S,S26T,S26U,S26Z,S272,S273,S275,S276,S27A,S27B,S27C,S27E,S27V,S285,S287,S288,S28C,S28H,S28M,S28R,S2BG,S2BI,S2BJ,S2BK,S2BP,S2BQ,S2BR,S2BT,S2BU,S2BY,S2BZ,S2C2,S2C4,S2CL,S2CT,S2CV,S2CW,S2D2,S2D7,S2DC,S2DH,S2G6,S2G8,S2G9,S2GA,S2GF,S2GG,S2GH,S2GJ,S2GK,S2GO,S2GP,S2GQ,S2GS,S2HB,S2HJ,S2HL,S2HM,S2HQ,S2HV,S2I2,S2I7,S2KU,S2KW,S2KX,S2KY,S2L5,S2L6,S2L7,S2L9,S2LA,S2LE,S2LF,S2LG,S2LI,S2LZ,S2M9,S2MB,S2MC,S2MG,S2ML,S2MQ,S2MV
"1997",,,,,,,,,,,,,,,,,88.4,,67.2,,80.1,,45.6,,68.8,,,56.7,,,,,,,58.8,,,,,77.8,23.3,68,86.6,31.4,9.6,17.6,11.8,11.7,28.3,24.7,19.9,3.5,54.7,108.9,77.2,79,6.2,218,153.4,1000,31.4,340.2,59.2,14.5,53.3,288.4,82.5,18.6,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,90.4,101,70.8,63.8,71.4,183.4,67.9,74.1,23,38.6,40.3,52.5,54.4,89.7,92.2,59.4,78.8,73.2,105.1,80.7
"1998",,,,,,,,,,,,,,,,5.7,93.5,1.9,68.4,4.1,83.4,16.3,53.1,3.4,71.2,8.6,,61.6,,,6.9,,,,62.8,1.8,,,,79.2,23,67.6,85,31.9,8.9,17.9,11.6,12.1,29.5,26.4,24,3.9,52.9,113.6,71.4,77.4,6.1,217.2,158.3,1000,30.6,344.6,60.7,15.3,56.1,279.9,81.3,18.9,24.8,4.8,-2.8,5.8,2,9.6,6.1,7,1.3,3,11.1,17.7,29.6,7.6,7.9,0.6,-0.2,3.6,4.4,4.7,1.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5,87.9,106.8,72.2,69.9,75.8,196.3,68.8,76.3,25.6,45.4,52.2,56.5,58.7,90.2,91.9,61.5,82.3,76.6,106.6,83
"1999",,,,,,,,,,,,,,,,6.6,99.6,3,70.5,-0.4,83.1,4.3,55.3,9.5,77.9,11.7,,68.8,,,3.8,,,,65.3,2.4,,,,81.1,23.6,64.4,85.7,31.2,8.3,17.8,11.5,12.5,30.3,27.4,26.5,4,49,115.5,71.6,78.4,6.1,216.5,160,1000,30.6,341.9,60.9,16.3,58.5,281.5,80.9,19.5,25,4.1,1.6,-3.1,2.2,4.8,9,1.2,5.4,6.2,34.8,16.3,24.3,5.4,9,1.3,2.4,3.4,1.3,3.1,0.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4,89.3,103.5,73.8,73.3,82.6,198.5,72.4,81.1,34.5,52.8,64.9,59.6,64,91.3,94.2,63.6,83.3,79,107.2,84
"2000",,,,,,,,,,,,,,,,2.1,101.7,4.6,73.7,11.2,92.4,6.1,58.7,1.9,79.4,13.8,,78.2,,,5.4,,,,68.8,2.8,,,,83.4,22.2,60.9,83.4,30,8.5,17.4,11.1,12.2,30.3,29.7,28.3,4.3,47.4,118.4,71.3,79.4,6.1,208.9,162.4,1000,30.6,345.9,62.2,17.3,61.6,282.8,81.7,19.4,24.9,4.7,-0.8,-8.6,3.9,8.3,9.7,7.6,1.8,1.8,37.4,12.9,26,8.2,7.6,1.3,0.8,4.8,3.1,7,0.3,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8,88.6,94.6,76.7,79.4,90.6,213.6,73.8,82.5,47.4,59.6,81.7,64.5,68.8,92.5,94.9,66.7,86,84.5,107.5,83.3
"2001",,,,,,,,,,,,,,,,-3.4,98.3,2.2,75.3,5.7,97.6,8.8,63.9,2.1,81.1,4.6,,81.8,,,4.6,,,,72,1.7,,,,84.8,22.5,63.3,83.6,29.4,7.3,16.7,11,12.2,30.2,27.9,29,4.4,45.1,116.9,70.6,81.1,6,211.8,158.4,1000,30,344.1,64,17.9,60.8,285.7,83.8,19,25.2,3.7,4.1,2.1,5.6,-4.9,3.9,1.8,1.2,5.1,13.7,8.3,-1.7,5.8,6.5,0.7,0.8,4.2,1.8,0.3,-1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.6,92.2,96.7,81,75.5,94.2,217.4,74.7,86.8,53.9,64.5,80.4,68.2,73.3,93.1,95.6,69.5,87.5,84.7,106.4,86.8
"2002",,,,,,,,,,,,,,,,1.9,100.2,3.5,77.9,0.4,98,-1.9,62.7,-1.5,79.9,1.6,,83.1,,,1.6,,,,73.1,3.2,,,,87.5,22.7,56.9,83,28.7,7.2,16.3,11,12.1,30.1,28.3,30.1,4.5,50.7,115.7,70.7,82.9,6,204.8,158.3,1000,29.2,346,65.1,18.9,60.2,290.9,86.3,19.5,25.5,2.8,9.5,3.1,6,0.7,-0.8,-0.4,4,3.5,7.1,-0.7,6.8,7.2,-2.4,3.1,1.9,4.6,5.4,1.5,1.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9,100.9,99.6,85.8,76,93.4,216.5,77.7,89.8,57.8,64.1,85.8,73.1,71.6,96,97.5,72.7,92.2,86,108,91.1
"2003",,,,,,,,,,,,,,,,2.4,102.6,6.3,82.8,3.1,101,11.9,70.1,6.7,85.2,6.5,,88.5,,,7.8,,,,78.8,4.5,,,,91.5,23.6,55.9,80,27.9,7.3,16.2,10.2,12,29.6,28.1,31.1,4.5,54,114,72.7,81.7,6,201.1,156.8,1000,27.9,349.5,65.1,18.5,60.3,292.6,87,20.2,25.1,5.8,8.1,2.1,2.7,3.1,1.8,2.7,5.7,4.9,10.5,13.6,6.1,10.1,4.7,4.8,2.8,6.8,8.8,-1.4,3.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6,109.1,101.7,88.1,78.3,95.1,222.3,82.1,94.2,63.8,72.8,91,80.5,75,100.6,100.2,77.7,100.3,84.8,111.4,94.5
"2004",,,,,,,,,,,,,,,,1.7,104.3,1.5,84.1,-2.5,98.5,2.9,72.1,0.6,85.7,2.5,,90.8,,,3,,,,81.2,0.9,,,,92.3,23.6,55.1,79.2,25.5,6.9,15.1,9.6,11.8,29.3,26.7,33.3,4.6,60.3,113.8,71.6,82,5.8,199.1,152.3,1000,26.1,355.7,63.9,17.7,59.4,292.9,88.2,20.4,25,2.3,2.4,1.3,5.4,5.7,1.3,-1.3,0.8,0.8,6.9,4.7,4.1,6.4,2.7,1,-0.8,3.3,0.5,0.1,-7.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6,111.7,103.1,92.9,82.8,96.4,219.5,82.8,95,68.2,76.2,94.8,85.7,77,101.6,99.4,80.2,100.8,84.9,102.9,97.2
"2005",,,,,,,,,,,,,,,,-0.4,103.9,3.6,87.1,-0.8,97.7,12.2,81,7.1,91.8,4.6,,95,,,6.8,,,,86.7,4.3,,,,96.2,24.2,52.1,75.7,24.9,6.8,15,9.3,11.8,28.5,24.9,32.5,4.2,63.8,114.3,73.2,82.3,5.7,192.2,147.3,1000,25.2,365.6,62.7,17,58.2,294.8,88.6,20.2,24.8,4.3,0.4,-4.5,1,10.9,10.2,-11.6,3.1,3.6,11.5,7.3,7.5,7.1,7.2,2.3,4.7,5.5,3.5,5.3,2.8,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4,112.2,98.5,93.8,91.9,106.2,194.2,85.3,98.3,76.1,81.8,101.9,91.7,82.6,103.9,104.1,84.6,104.3,89.3,105.7,97.2
"2006",,,,,,,,,,,,,,,,3.2,107.2,3.1,89.7,2,99.7,10.5,89.5,-1.7,90.2,2.1,,97,,,6.3,,,,92.2,1.4,,,,97.6,24,50.8,74,23.9,6.3,15,9.5,11.8,27.7,23.6,32.8,4.5,72.9,115.1,71.8,82.2,5.5,188.2,142.7,1000,23.2,375.7,66.6,17.8,59.2,293.5,89.9,19.4,24.5,3.8,-0.5,6.1,3.1,6.8,4.7,-13.3,4.4,5.2,2.5,4.9,0.7,10.9,5.7,0.1,-1,3.2,1.1,8.3,-2.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9,111.6,104.5,96.7,98.1,111.2,168.3,89.1,103.5,78,85.8,102.6,101.7,87.3,103.9,103,87.4,105.5,96.8,103.3,100.9
