,C9K9,C9KA,C9KB,C9KC,C9KD,C9KE,C9KL,C9KM,C9KN,C9KO,C9KP,C9KQ,C9LA,C9LB,C9LC,C9LD,C9LF,C9LG,C9LH,C9LJ,C9LL,C9LM,C9LN,C9LP,C9LQ,C9LR,C9LT,CZG8,CZG9,DB36,DB37,G6NQ,G6NT,G6NW,G7AR,G7FP,G7FS,G7FV,G7FY,G7G3,G7G6,G7G9,G7GC,G7GF,G7GI,G7GL,G7GR,G7K2,MFX9,MFY2,MFY3,MFY4,G7AU,G7D6,G7ER,G7EU,G7EX,G7F2,G7F5,G7FG,G7FJ,G7FM,G7GO,G7K5,G9BZ,G9C2,MFY5,MFY7,MFY9,MFZ2
"1991",2333,3090,5423,582,6005,593,,,,,,,183,311,224,1297,1333,1220,436,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,,,,,,,,,,
"1992",2348,3038,5387,544,5930,609,,,,,,,166,304,226,1305,1310,1225,432,962,,,,,,,,19633,25563,23.2,76.8,,,,,,,,,,,,,,,,,,,,,,,609,,,,,,,,,,,,,,,,
"1993",2529,2807,5336,515,5850,601,,,,,,,154,285,228,1267,1379,1204,417,917,,,,,,,,19464,25314,23.1,76.9,,,,,,,,,,,,,,,,,,,,,,,601,,,,,,,,,,,,,,,,
"1994",2470,2772,5242,446,5688,578,,,,,,,147,262,228,1234,1354,1189,427,847,,,,,,,,19849,25537,22.3,77.7,,,,,,,,,,,,,,,,,,,,,,,578,,,,,,,,,,,,,,,,
"1995",2417,2776,5193,433,5626,555,,,,,,,141,241,227,1202,1377,1193,430,816,,,,,,,,20186,25812,21.8,78.2,,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,,,,,,,,,,
"1996",2379,2752,5131,395,5526,538,,,,,,,130,230,230,1191,1372,1197,423,753,,,,,,,,20499,26025,21.2,78.8,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,
"1997",2338,2747,5085,348,5433,516,,,,,,,122,220,230,1167,1377,1190,424,702,,,,,,,,21077,26510,20.5,79.5,,,,,,,,,,,,,,,,,,,,,,,516,,,,,,,,,,,,,,,,
"1998",2342,2729,5070,350,5421,505,,,,,,,117,219,229,1153,1383,1202,415,703,,,,,,,,21365,26786,20.2,79.8,,,,,,,,,,,,,,,,,,,,,,,505,,,,,,,,,,,,,,,,
"1999",2346,2744,5090,359,5449,504,1984,2001,3985,339,4324,482,110,218,227,1177,1389,1212,392,725,218,220,993,947,982,277,606,21679,27128,20.1,79.9,2346,2739,5085,361,1984,1999,3983,341,4324,482,218,220,993,947,982,276,608,5026,18.5,22102,81.5,5446,504,110,218,227,1177,1386,1212,389,727,27115,21669,20.1,79.9,81.5,5022,18.5,22093
"2000",2384,2779,5163,367,5531,516,2013,2015,4028,346,4375,492,107,217,225,1183,1442,1239,388,729,217,218,999,981,1001,273,608,22006,27537,20.1,79.9,2384,2774,5158,369,2013,2013,4026,348,4374,492,217,218,999,982,1001,272,610,5108,18.5,22429,81.5,5527,516,107,217,225,1183,1440,1239,385,731,27528,22001,20.1,79.9,81.5,5104,18.5,22424
"2001",2462,2781,5242,379,5643,522,2076,2009,4085,357,4442,497,98,214,229,1189,1468,1285,375,764,214,222,1002,996,1037,264,636,22061,27704,20.4,79.6,2462,2776,5238,382,2076,2008,4084,359,4443,497,214,222,1002,997,1037,263,638,5197,18.8,22507,81.2,5620,522,98,214,229,1189,1466,1285,372,766,27699,22079,20.3,79.7,81.2,5194,18.8,22505
"2002",2553,2798,5351,377,5728,538,2151,2028,4179,357,4536,511,84,214,238,1217,1473,1347,367,787,214,230,1024,1005,1088,260,653,22155,27883,20.5,79.5,2553,2794,5347,380,2151,2027,4178,360,4538,511,214,230,1024,1006,1088,259,655,5288,19,22595,81,5727,538,84,214,238,1217,1472,1347,364,789,27881,22154,20.5,79.5,81,5285,19,22596
"2003",2663,2841,5504,387,5891,560,2239,2065,4303,365,4668,529,78,223,248,1261,1530,1415,347,788,223,240,1060,1047,1139,246,655,22300,28191,20.9,79.1,2663,2837,5500,390,2239,2064,4303,368,4671,529,223,240,1060,1049,1139,245,657,5484,19.5,22707,80.5,5890,560,78,223,248,1261,1530,1415,344,790,28194,22304,20.9,79.1,80.6,5482,19.4,22712
"2004",2736,2895,5631,378,6009,570,2308,2108,4416,356,4772,538,79,218,264,1274,1567,1474,359,774,218,254,1074,1073,1192,255,645,22403,28412,21.1,78.9,2736,2891,5627,381,2308,2108,4416,359,4775,538,218,254,1074,1076,1192,254,647,5606,19.7,22806,80.3,6008,570,79,218,264,1274,1568,1474,357,776,28419,22411,21.1,78.9,80.3,5603,19.7,22816
"2005",2794,2931,5725,383,6109,571,2353,2144,4497,361,4858,537,74,210,272,1292,1584,1526,367,784,210,262,1086,1088,1236,262,657,22659,28768,21.2,78.8,2794,2928,5722,386,2353,2144,4497,364,4861,537,210,262,1086,1091,1236,261,659,5712,19.9,23056,80.1,6108,571,74,210,272,1292,1585,1526,365,786,28776,22668,21.2,78.8,80.2,5709,19.8,23067
"2006",2771,2942,5712,362,6074,558,2337,2174,4511,338,4849,524,68,204,274,1288,1611,1520,359,751,204,264,1083,1120,1238,260,627,22946,29020,20.9,79.1,2771,2939,5710,365,2337,2174,4511,341,4852,524,204,264,1083,1124,1238,260,629,5685,19.6,23335,80.4,6075,558,68,204,274,1288,1613,1520,358,753,29030,22955,20.9,79.1,80.4,5682,19.6,23348
"2007",2714,2949,5664,356,6020,539,2310,2184,4494,332,4825,505,61,197,283,1275,1623,1484,356,740,197,272,1068,1131,1233,258,618,23173,29193,20.6,79.4,2714,2947,5661,359,2310,2185,4495,335,4830,505,197,272,1068,1135,1233,258,621,5639,19.3,23554,80.7,6020,539,61,197,283,1275,1625,1484,355,742,29205,23185,20.6,79.4,80.7,5636,19.3,23569
"2008",2716,2929,5646,360,6006,523,2319,2170,4489,336,4825,489,53,193,286,1232,1637,1503,353,749,193,275,1031,1142,1258,255,629,23488,29494,20.4,79.6,2716,2927,5643,364,2319,2172,4491,339,4830,489,193,275,1031,1146,1258,255,632,5614,19,23880,81,6007,523,53,193,286,1232,1639,1503,352,751,29508,23501,20.4,79.6,81,5613,19,23895
"2009",2817,2917,5734,566,6300,527,2412,2173,4584,520,5105,493,52,197,294,1216,1656,1570,350,965,197,283,1022,1163,1318,257,826,22516,28816,21.9,78.1,2817,2916,5733,571,2412,2175,4587,525,5112,493,197,283,1022,1167,1318,260,830,5691,19.7,23125,80.3,6304,527,52,197,294,1216,1658,1570,353,968,28831,22527,21.9,78.1,80.3,5691,19.7,23140
"2010",2833,2913,5746,542,6289,522,2436,2177,4612,499,5111,487,48,197,292,1208,1688,1596,353,906,197,281,1017,1193,1349,258,779,22821,29110,21.6,78.4,2833,2912,5745,547,2436,2179,4615,504,5119,487,197,281,1017,1196,1349,260,783,5697,19.6,23413,80.4,6292,522,48,197,292,1208,1689,1596,355,909,29118,22826,21.6,78.4,80.4,5700,19.6,23418
"2011",2805,2765,5570,509,6079,488,2404,2067,4471,468,4939,452,44,193,277,1128,1663,1565,336,874,193,266,946,1183,1321,246,750,23048,29127,20.9,79.1,2805,2765,5570,514,2404,2070,4474,473,4947,452,193,266,946,1186,1321,248,754,5512,18.9,23615,81.1,6084,488,44,193,277,1128,1664,1565,338,877,29130,23046,20.9,79.1,81.1,5517,18.9,23613
"2012",2697,2564,5261,477,5737,458,2335,1924,4259,439,4699,423,43,186,266,1088,1473,1556,306,821,186,255,911,1068,1315,225,706,23830,29567,19.4,80.6,2697,2564,5261,481,2335,1927,4262,443,4705,423,186,255,911,1070,1315,226,710,5388,18.2,24179,81.8,5742,458,43,186,266,1088,1473,1556,308,824,29560,23818,19.4,80.6,81.8,5394,18.2,24166
"2013",2789,2428,5217,456,5673,450,2411,1827,4238,421,4659,415,41,175,260,1081,1504,1545,287,780,175,249,907,1100,1309,213,675,24172,29845,19,81,2789,2429,5218,458,2411,1830,4241,424,4665,415,175,249,907,1103,1309,215,677,5341,17.9,24504,82.1,5676,450,41,175,260,1081,1505,1545,289,780,29836,24160,19,81,82.1,5346,17.9,24490
"2014",2847,2358,5205,186,5391,442,2453,1776,4229,175,4404,408,39,164,256,1067,1518,1573,267,506,164,246,894,1109,1337,196,427,25211,30602,17.6,82.4,2847,2360,5207,187,2453,1779,4232,176,4408,408,164,246,894,1112,1337,198,428,5319,17.4,25283,82.6,5394,442,39,164,256,1067,1519,1573,269,506,30609,25215,17.6,82.4,82.6,5325,17.4,25284
"1991 Q2",2332,3106,5438,583,6021,593,,,,,,,181,311,228,1313,1331,1220,421,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991 Q3",0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991 Q4",0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992 Q1",0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992 Q2",2347,3054,5401,545,5946,609,,,,,,,164,304,230,1321,1308,1225,417,977,,,,,,,,19617,25563,23.3,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992 Q3",0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992 Q4",0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
